Headline,URL
Skip to content,#main-content
British Broadcasting Corporation,/
Home,/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
Africa,/news/world/africa
Asia,/news/world/asia
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Home,/home
News,/news
Israel-Gaza War,/news/topics/c2vdnvdg6xxt
War in Ukraine,/news/war-in-ukraine
UK General Election,/news/topics/crggn4j2lm0t
US & Canada,/news/us-canada
UK,/news/uk
UK Politics,/news/politics
England,/news/england
N. Ireland,/news/northern_ireland
N. Ireland Politics,/news/northern_ireland/northern_ireland_politics
Scotland,/news/scotland
Scotland Politics,/news/scotland/scotland_politics
Wales,/news/wales
Wales Politics,/news/wales/wales_politics
Africa,/news/world/africa
Asia,/news/world/asia
China,/news/world/asia/china
India,/news/world/asia/india
Australia,/news/world/australia
Europe,/news/world/europe
Latin America,/news/world/latin_america
Middle East,/news/world/middle_east
In Pictures,/news/in_pictures
BBC Verify,/news/reality_check
Sport,/sport
Business,/business
Future of Business,/business/future-of-business
Technology of Business,/business/technology-of-business
Work Culture,/business/c-suite
Innovation,/innovation
Technology,/innovation/technology
Science & Health,/innovation/science
Artificial Intelligence,/innovation/artificial-intelligence
Culture,/culture
Film & TV,/culture/film-tv
Music,/culture/music
Art & Design,/culture/art
Style,/culture/style
Books,/culture/books
Entertainment News,/culture/entertainment-news
Travel,/travel
Destinations,/travel/destinations
Africa,/travel/destinations/africa
Antarctica,/travel/destinations/antarctica
Asia,/travel/destinations/asia
Australia and Pacific,/travel/destinations/australia-and-pacific
Caribbean & Bermuda,/travel/destinations/caribbean
Central America,/travel/destinations/central-america
Europe,/travel/destinations/europe
Middle East,/travel/destinations/middle-east
North America,/travel/destinations/north-america
South America,/travel/destinations/south-america
World’s Table,/travel/worlds-table
Culture & Experiences,/travel/cultural-experiences
Adventures,/travel/adventures
The SpeciaList,/travel/specialist
Earth,/future-planet
Natural Wonders,/future-planet/natural-wonders
Weather & Science,/future-planet/weather-science
Climate Solutions,/future-planet/solutions
Sustainable Business,/future-planet/sustainable-business
Green Living,/future-planet/green-living
Video,/video
Live,/live
Live News,/live/news
Live Sport,/live/sport
Home,/
Sport,/sport
Video,/video
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
Newsletters,https://www.bbc.com/newsletters
"UN Security Council backs US Israel-Gaza ceasefire planThe proposal sets out conditions for a ""complete ceasefire"" and the release of hostages held by Hamas.1 hr agoMiddle East",/news/articles/cw448x7lxggo
UN Security Council backs US Israel-Gaza ceasefire plan,
"Netanyahu walks tightrope as US urges Gaza ceasefire dealSecretary of State Blinken's Middle East mission collides with Israeli politics, Jeremy Bowen says.15 hrs agoWorld",/news/articles/c511vl9yjwwo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,
"Fire at famous Bangkok market kills 1,000 animals The blaze at Thailand's famous Chatuchak market kills dogs, birds, snakes and cats. 19 mins agoAsia",/news/articles/cw44gm303wro
"Fire at famous Bangkok market kills 1,000 animals",
"Baltimore shipping channel reopens after bridge collapseThe US Army Corps of Engineers said the area was ""safe for transit"", nearly three months after the disaster.6 hrs agoUS & Canada",/news/articles/cnkk2d1ezzyo
Baltimore shipping channel reopens after bridge collapse,
US civil rights hero James Lawson dies at 95Dr Martin Luther King praised Lawson as chief strategist of racial equality protests in the 1960s.8 hrs agoUS & Canada,/news/articles/cw00w25x2pko
US civil rights hero James Lawson dies at 95,
"Netanyahu walks tightrope as US urges Gaza ceasefire dealSecretary of State Blinken's Middle East mission collides with Israeli politics, Jeremy Bowen says.15 hrs agoWorld",/news/articles/c511vl9yjwwo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,
"Four US college instructors stabbed in public park in ChinaThe instructors were on a daytime visit to a public park when they were attacked, Cornell College says. 56 mins agoAsia",/news/articles/c844q27v732o
Four US college instructors stabbed in public park in China,
Apple brings ChatGPT to iPhones in AI overhaulThe company has been slower to roll out generative AI features than rivals including Google and Microsoft.11 hrs agoTechnology,/news/articles/c4nn5mejl89o
Apple brings ChatGPT to iPhones in AI overhaul,
Aircraft carrying Malawi vice-president goes missingSaulos Chilima and nine others were on board of a military plane that went off the radar on Monday morning.7 hrs agoAfrica,/news/articles/c4nn0zkq79ko
Aircraft carrying Malawi vice-president goes missing,
"Fire at famous Bangkok market kills 1,000 animals The blaze at Thailand's famous Chatuchak market kills dogs, birds, snakes and cats. 19 mins agoAsia",/news/articles/cw44gm303wro
"Fire at famous Bangkok market kills 1,000 animals",
LIVETories pledge another National Insurance cut ahead of manifesto launch,https://www.bbc.com/news/live/uk-politics-69108457
Tories pledge another National Insurance cut ahead of manifesto launch,
Warning shots from South as North Korean soldiers cross border3 hrs agoAsia,/news/articles/c511ve3051po
Warning shots from South as North Korean soldiers cross border,
Thirty-nine die after boat capsizes off Yemen - officials18 mins agoWorld,/news/articles/cv22nqq9yv1o
Thirty-nine die after boat capsizes off Yemen - officials,
Macron snap election leaves rivals stunned after EU vote17 hrs agoEurope,/news/articles/cv22jkmldlxo
Macron snap election leaves rivals stunned after EU vote,
French officer held after 19-year-old allegedly shot dead9 hrs agoEurope,/news/articles/cyxx91d9eppo
French officer held after 19-year-old allegedly shot dead,
Features & analysis,
Five ways Michael Mosley made us healthierMichael Mosley’s simple and accessible health hacks made him a household name.  Remember these?9 hrs agoHealth,/news/articles/c1wwv0405wyo
Five ways Michael Mosley made us healthier,
Hardliners dominate Iran presidential candidatesHardliners look set to hold on to the presidency after Ebrahim Raisi's death in a helicopter crash.16 hrs agoMiddle East,/news/articles/cy66y5xgjqgo
Hardliners dominate Iran presidential candidates,
Why voters fall out of love with liberation movementsThe ANC's loss of a majority in South Africa mirrors that of other liberation parties on the continent.9 hrs agoAfrica,/news/articles/c166zlx6354o
Why voters fall out of love with liberation movements,
Widow of IS leader reveals details of their life togetherUmm Hudaifa - widow of IS leader Abu Bakr al-Baghdadi - says she tried to leave him but couldn’t.1 day agoMiddle East,/news/articles/clkkldnj9djo
Widow of IS leader reveals details of their life together,
"How Gaza hostage raid ended with  Israel striking crowded streetsAir strikes were called in after special forces became trapped, killing scores of Palestinians.16 hrs agoMiddle East",/news/articles/cv22xvp90nlo
How Gaza hostage raid ended with  Israel striking crowded streets,
Hardliners dominate Iran presidential candidatesHardliners look set to hold on to the presidency after Ebrahim Raisi's death in a helicopter crash.16 hrs agoMiddle East,/news/articles/cy66y5xgjqgo
Hardliners dominate Iran presidential candidates,
"Drugs, alcohol and a gun: Inside Hunter Biden's trialThe BBC's Bernd Debusmann Jr reports from court on what's at stake for the US president's son.15 hrs agoUS & Canada",/news/videos/c7221r0v5q7o
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",
Why the EU might be about to make Chinese electric cars more expensiveBrussels is widely expected to introduce tariffs on Chinese electric vehicles coming to Europe.10 hrs agoAsia,/news/articles/cpww6w412n7o
Why the EU might be about to make Chinese electric cars more expensive,
Why voters fall out of love with liberation movementsThe ANC's loss of a majority in South Africa mirrors that of other liberation parties on the continent.9 hrs agoAfrica,/news/articles/c166zlx6354o
Why voters fall out of love with liberation movements,
Most watched,
1Stranded surfer rescued after spelling out 'HELP',/news/videos/cw00n8ljq97o
Stranded surfer rescued after spelling out 'HELP',
"2Drugs, alcohol and a gun: Inside Hunter Biden's trial",/news/videos/c7221r0v5q7o
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",
3Huge apartment fire in Miami fills sky with smoke,/news/videos/c722ke42krgo
Huge apartment fire in Miami fills sky with smoke,
4Rodeo bull escapes and hurls bystander into the air,/news/videos/cw991neypvjo
Rodeo bull escapes and hurls bystander into the air,
5Ten-year-old Taylor Swift fan delighted to be given star's hat,/news/videos/c4nn55jn1ylo
Ten-year-old Taylor Swift fan delighted to be given star's hat,
Also in news,
Singapore Airlines turbulence victims offered payoutsOne British passenger died and dozens more were injured when flight SQ 321 encountered turbulence in May.2 hrs agoBusiness,/news/articles/cpwwy3wq5p6o
Singapore Airlines turbulence victims offered payouts,
Wildfires threaten unique Brazil ecosystemThe number of fire outbreaks so far this year is 10 times that in the same period in 2023. 22 hrs agoLatin America,/news/articles/crgg7rnlrylo
Wildfires threaten unique Brazil ecosystem,
